"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X17","X19","X20","X21","X22","X23","X24","X25","T05_3_044","T04_1_070","X26","X27","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X41","X42","X43","X44","X45","X46","X47","T01_1_016","T03_1_048","T03_2_045","T03_3_085","T04_2_044","T04_3_028","T05_1_034","T07_2_060","T08_1_161","T08_2_164","T08_3_020","T09_3_077","T10_1_291","T10_2_117","T11_1_015","T11_3_146"
"ENSG00000072062",1.0857174773103,0.896452802768511,1.39311532242508,1.34925800288818,1.41455394156582,0.710421754824883,0.750822964022451,0.201802016921467,1.38918293167918,1.35531763418119,1.15451498498239,1.00835602073669,1.5789333184904,1.36736107131606,0.874117455653988,1.01857435446147,0.816717740168103,1.0686078053009,1.35128070908937,0.992891521478416,1.36135191956908,0.9266099973302,1.67895800718562,1.57720605703098,1.05873896844955,0.578501696957878,0.868479167428467,1.51721376158119,1.25948454506147,0.44849002576377,0.807907361054794,1.43758381582031,0.921173551280714,1.34317281300971,0.865651738866853,1.14987422517314,0.232852763653084,0.713570026585146,0.813786921564711,1.12880406492317,0.753884386839653,0.514959902915363,0.747755030138845,1.2246009104481,0.950823628751472,1.19787325949168,0.862818758159492,0.609253022145157,0.719846035017537,0.729209150379336,1.43186072033031,1.20460173696274,1.14754823521101,1.14754823521101,0.97463756781756,1.00064449184076,1.24867374106792,1.10022312137537,1.14987422517314,0.99548047751671,1.15682977948646
"ENSG00000077232",0.826959397800164,0.612136737544022,0.590346782465816,0.2952423325052,0.499998495933063,0.285029454070171,0.351020477087756,0.643276415507786,0.5315947747042,0.765511496720733,0.460772662732856,0.529051656847523,0.824205108220932,0.630758763621656,0.972572549145543,0.534640610707798,0.246228890049224,0.715736585654091,0.677666986588134,0.269573286133362,0.5315947747042,0.271704550656254,0.694786587262708,0.772096976360528,0.512926098177012,0.573168540846482,0.418802870000575,0.794904862806572,1.22046244764177,0.533118496008288,0.629572227361613,1.68774200370672,2.55022448467391,0.715289233992,0.341486145644578,0.464237837460704,0.24715757707437,0.500517830452023,0.800210864695599,1.22790342533701,0.538969845768004,0.30300368850023,0.435737580878922,1.18342295698337,0.891342315984282,0.667759340324054,0.589126525465169,0.288040753895423,0.696147419894156,2.23044155796662,1.03484676131707,0.320462636819502,0.990429894656657,1.815845925627,0.749335726299162,2.35778488690781,0.482394603645413,0.684767735699264,0.742107384880873,0.688845149696306,0.45462150760801
"ENSG00000078549",0.0649842407950571,0.0171795134686938,0,0.00663173677422618,0.370753005452599,0,0.0198044527945787,0,0,1.30436212696938,0.0675237000363357,0.794446472995696,0.0560607632853954,0.0814113867912904,0.185611680075289,0.222540125549612,0.00132878807413489,0.00927592014200759,0.113714970043427,0.0132331298480457,0.0145497908675848,0.216831999502138,0.152505223920683,0.0788962768572398,0.0393407192781903,0.411302962710269,2.72241678663504,0.0662545291661792,0.882890882103629,0.0470817478435161,0.00132878807413489,1.65102890968159,1.59051558735436,0.0662545291661792,0,0.0445060177908042,0.191444425714986,0.160853333589185,0.021115132917698,0,1.25619890532788,0.0263459797282264,0.0367511177070211,0.198412733051253,0.185611680075289,0.00132878807413489,0.0184925808432766,0.321603094110531,0.659563649578505,1.04436278613012,0.511689926015439,0.0132331298480457,0.533896744170731,2.24271712772629,2.01301356887581,2.14901253751104,0.0132331298480457,2.01761733539441,2.63287799083138,0.918493301345321,0.830776455954228
"ENSG00000078814",0.0974798870111495,0.279555298166364,0.337041852926709,0.204318078470199,0.188788070732254,0.410292127054248,0.436829716479547,0,0,0.135779739403098,3.54275656274942,0.542431311371194,0.396838004592078,1.16994331072919,3.60160556916124,0.193983337026939,0.0863476870997872,0.303787005734569,0.0863476870997872,0.0863476870997872,0.337041852926709,5.5852826977994,0.0694866494221669,0.313366865893808,0.401336667484015,0.151887739161345,0.0751289185402907,0.0974798870111495,1.38281496719573,0.108526845377372,0.219682691010631,0.313366865893808,0.274659731115522,0.103013939720505,0.209457818792759,0.219682691010631,0.298973114808523,0.0293605503495879,0.0751289185402907,0.244932253120553,0.173089068158645,0.462887965339976,0.124940280919499,2.80296968401931,0.0974798870111495,0.387798375156382,0.135779739403098,0.52604592473222,0.313366865893808,0.151887739161345,2.57108143674576,0.130370190204597,0.351062575450908,0.284434309017228,0.234885395418567,0.355706032390166,0.157217352304151,0.505298974158159,0.29414310741312,4.22066408351918,0.423621938969444
"ENSG00000084676",1.17900130925735,0.763713502558064,1.35081056246229,1.21898823157447,1.40381588866363,1.03559903041616,0.706729392272138,1.01606110591247,1.4693813853996,1.23467774898627,1.40958693327833,1.56866326425071,1.25661648528166,1.55518918355316,0.925516154757897,0.884664449479535,0.867994273819729,1.20312621004373,1.07244416113169,1.1489567209929,0.974616693839482,0.749222023948906,1.07098828265775,1.89585458742059,0.931946402202702,0.7327432018542,0.99164542264105,1.26809744151999,1.56556501168202,0.81679588497728,0.64740161484066,1.14619411288723,0.825456123058007,1.05487589106591,0.459895204298865,1.04749216385037,0.382194801351304,1.1420402560647,0.466554377667244,1.19646521491366,0.609795514001653,0.749222023948906,0.951066949813031,1.21635664243988,1.67694515681891,0.866316613437157,0.954229214627825,0.446483930081517,0.906051641152191,0.706729392272138,1.19913330447078,0.912569034924773,1.02360703741801,1.20843295176258,0.985476388101744,1.39453392962569,1.44373665259673,0.851129222230361,0.902781870392034,1.05045019135663,1.05487589106591
"ENSG00000085465",4.23325677136492,0.0721219489679693,0.18845906423176,0.0244434534319347,0.060349230319732,0.148243379151485,0.0682083739487973,0,0,0,0.245023331974104,0.241552300276866,0.451410007614447,0,0.405619779400952,0.238072897355408,0,0.18484906566939,0.0325000976849961,0.0953830435532017,0.0445013273770789,0.245023331974104,0.248486032631737,0.110684659253827,0.140809452576798,1.28073884352059,3.20014197990176,0.0799173934096832,0.19923517537797,0.0642841537557488,0.0992236893336762,0.18845906423176,3.01889237599834,0.0244434534319347,0.358328424435824,0.0564035450952066,0.0244434534319347,0.0163415645462459,0,0.0365116104417502,0.060349230319732,0.0992236893336762,0.0405119998335984,0.279281931498995,0.0484796540798227,0.195652074383907,0.0122734940032699,0.332457849026325,0.272494983704141,3.27971680911688,0.282663469749593,0.0915321461664364,0.170318056004174,0.45441162819705,1.54147755440636,2.58995646832979,0.140809452576798,0.417973312033285,0.181230011286084,0.417973312033285,0.110684659253827
"ENSG00000099822",0,0,2.04995815857736,1.96322583292002,4.14332328561678,5.25580486388084,0,0,0,3.44705548228065,2.81563044203809,0.568734039405816,0,2.04995815857736,2.04995815857736,0.568734039405816,0.786456028928192,0,0.975588333945315,1.2925841335819,1.14277525309329,0.568734039405816,0.786456028928192,1.2925841335819,0,0,0.312212939757813,0.975588333945315,0.786456028928192,0,0.786456028928192,0.786456028928192,0,0.568734039405816,0,0.312212939757813,0,0.312212939757813,0,1.14277525309329,1.55232094901863,0,0.568734039405816,1.55232094901863,0.786456028928192,0,1.2925841335819,2.20919165229657,1.42828990610789,0,0.786456028928192,0.568734039405816,2.20919165229657,1.14277525309329,0.312212939757813,0.786456028928192,2.28266866441626,1.42828990610789,0.312212939757813,1.87094389927889,2.04995815857736
"ENSG00000100823",1.81878998728738,0.523847358640927,1.13218418009959,0.95854930274418,0.999886807477498,0.872141741574932,1.19226301776068,1.54067449128742,1.5793677220175,1.32667417851449,1.43462691896996,1.53927321148222,1.49369813889805,1.75985084505885,0.922456455139516,1.13218418009959,0.582167823921992,1.07916966387875,1.41947330429741,1.73068130845222,0.913831166402285,0.9352984639664,1.2205155131558,1.3152572379157,0.568494326652054,0.826916426393158,0.836075617973918,1.73802916985588,1.46002830511563,0.549131064148421,0.878804901514972,1.14698012815312,0.61712404162418,1.48789867584577,0.468969556215531,0.979366105356907,0.197701372634564,0.878804901514972,0.669301522845321,0.915992328200289,1.08494387383419,1.09451649439729,0.810746573830461,1.60504500827381,1.04600529204574,0.787327797625035,1.56429033295863,0.537948529652271,0.794393432709708,0.471910498945078,0.977297889383895,1.12285905793592,1.01003873037863,1.15797835070316,1.14144941517981,0.960644551306352,1.24307013037508,1.00801405241466,0.952245235686959,0.78022738887682,0.792042063544998
"ENSG00000107223",1.89165397666261,0.692737460217424,1.78193907038504,1.9497343278921,1.3584327233061,0.383895123906462,1.110893591223,0.860104167246457,2.07755513018454,1.37695809601218,2.09108284373125,1.19264507812273,1.19682209726245,1.11972044126452,0.727800181264945,1.60779876916193,0.745017078075795,1.4592384477257,1.28185664086339,1.39160900377519,0.844214646343526,1.26206024042492,1.4969905185731,1.33209094341737,1.13721375820709,0.921967977169466,0.875820588471279,1.40971585882991,1.50374964334021,0.588499386512963,0.588499386512963,1.27001142707009,0.704519971196421,1.52716027638502,0.588499386512963,1.15449749958628,0.0745316676913992,1.00053108595919,0.405711706961842,1.42403947943142,1.23388083318638,0.911839811603967,0.817336917364907,1.91212211176959,0.73930091170479,1.08408430926358,0.530106055850306,0.489821364329783,0.98612269294504,0.543288133250387,1.0429124828829,1.21341027798964,1.19264507812273,1.01952113040323,0.806444033479462,0.613712174634486,1.110893591223,1.13721375820709,0.833523568249879,1.15019593705345,0.916912782225463
"ENSG00000108107",1.3484730901086,0.691291034686277,1.10394273016135,1.95424597696143,1.49769210849463,1.05067916535996,1.17385442360202,0.956231246617451,0.721485884828137,1.4013075720127,1.18066281328421,0.747397717409813,1.52950764108859,1.35751445070703,0.880475408901234,0.941875953238854,0.828534480820037,1.29739345838925,1.06987600468902,1.50638961825758,1.10107454851405,0.799635828859867,1.23203819227301,1.13932201761099,0.941875953238854,0.622950347096955,0.807574861875289,1.56324410074838,1.86871880685974,0.740963259295594,0.831133151196548,1.19955712500001,0.749230875511031,1.17248888139734,0.698899200306233,1.09963831620896,0.224809917148191,0.840621763093593,0.484546732240135,1.09099076780456,0.732647991717284,0.920071583065369,0.508555827213328,1.50204741765121,0.732647991717284,1.0684083593627,0.682683613907179,0.447766883328447,0.670159304664895,0.391363962862557,1.05216494773162,1.22283226744696,1.08737226838884,1.08882075701989,1.09243563045022,0.887982945778969,1.92818575010255,1.19081552971562,0.773753194481157,0.961775511067492,1.22480991653093
"ENSG00000108298",1.83441719153282,0.490776526835902,1.45215987483182,1.68418953686532,1.43123743827695,0.909867939937831,1.11620958010671,0.647573368218428,0.76927407509629,1.60232513167792,1.97012111922367,1.22499015461391,1.59786153394158,1.2806351721717,0.874138469147667,1.28896600589268,0.79601854565298,1.55889358184395,1.28286143558772,2.01433586574339,0.912745937907441,0.928473114671458,1.49839411365004,1.382762722524,0.649299970275635,0.596581282446693,0.788987235353212,1.51506108710631,1.90077631351474,0.389047518800947,0.894663530333718,1.2530809263041,0.653607458426318,2.02468226609127,0.481114319542582,1.06861538741302,0.213457384639651,1.07054960858965,0.905540149038494,1.09102153797736,1.06020366647563,0.841282978641205,0.580382557157187,1.65998579357214,0.616135865345117,0.866736743119793,0.698493183885641,0.323503034161158,0.72083357490377,0.385944141142142,1.33475000947182,0.912019784979485,0.857804251970273,1.01872963310055,0.99312462154919,0.700159943124666,1.73913415486069,0.813063291313392,0.914182787165777,0.854814422589888,0.890282517679075
"ENSG00000109063",0.746347836174099,1.12062002513224,1.29008246113566,2.69276096326699,1.39292068226455,1.89148261425866,1.17934720750032,3.44520961292812,0,0.82201998206933,1.46550751611805,2.23385419631378,0.581942413570524,0.2937788380104,1.44171539541637,1.87381072865201,0.492134649071062,1.64291460092565,1.70419438481015,1.41752432035611,1.70419438481015,1.6005658438933,0.666485756020018,2.08820800749267,1.20783799758434,1.57891599149375,0.396363048190708,1.05940044420208,0.581942413570524,0.746347836174099,0.445043413812074,1.15028241853688,0.492134649071062,0.784679996063111,0.492134649071062,1.23577702094186,0,0.995467495156488,0.2937788380104,0.706969332972393,1.20783799758434,0.82201998206933,0.706969332972393,1.89148261425866,0.34598254462125,0.396363048190708,0,0.34598254462125,0.445043413812074,0.239614999009433,1.36789016464247,1.26318524433829,0.746347836174099,1.8008755479541,1.44171539541637,0.581942413570524,1.44171539541637,1.41752432035611,1.53461654369992,2.05722738293151,1.31648737779782
"ENSG00000111218",0.707359132080883,0,0,0,0,0,0,0,0,0,0.276124405274238,0.434628227636725,0,0,0.276124405274238,0.189824558880017,0,0,0.0980320829605267,0.0980320829605267,0,0,0,0,0.0980320829605267,0,0.507794640198696,0.189824558880017,0,0,2.54882190845875,1.2667865406949,0,0.0980320829605267,0,0.507794640198696,0,0.0980320829605267,0,0,0.434628227636725,0,0,4.10197567094923,0.0980320829605267,0,0,2.15228484230658,0,1.70043971814109,0.768184324776926,0,0.357552004618084,0.936637939002571,0.189824558880017,1.22400167419811,0,1.5352753766208,0,0,1.0389189892923
"ENSG00000112038",0.301304423328014,0,0,0,0,2.51666588898616,0,0,0,0,0,0,0,0.207691372393006,0,0.107579887415787,1.05926594959835,0.207691372393006,0.301304423328014,0,0.107579887415787,0,0,0.301304423328014,0.389211511520061,1.43468202818409,3.71752165477774,0.207691372393006,0,0.107579887415787,0.624742402827239,0.301304423328014,2.00696394785397,0,0,0.107579887415787,0,0,1.16266744703378,0,0,0,0,0.207691372393006,0.5504240819849,0,0.107579887415787,3.44753653908882,0.207691372393006,1.69829018438788,0.389211511520061,0.107579887415787,0.624742402827239,0.472068444113916,0.107579887415787,1.16266744703378,0,0.5504240819849,0.207691372393006,0.301304423328014,0.389211511520061
"ENSG00000113360",1.30238296041172,0.692626281625074,1.02770323151027,1.47286638841366,1.17157039969065,1.48458421367305,0.930147311506383,1.20185734805617,0.541267485513641,1.26663337456017,1.47286638841366,1.17960249831495,1.53554187780413,1.28163683819649,1.10901958770778,1.00256801425217,0.706034670891827,1.02592230950058,1.35865051005166,1.34443081328617,0.988005938637935,1.3487114578159,1.13898721244628,0.986175301427629,0.912905647188026,0.734665610338778,0.841801459796891,1.54924535136994,1.59440635969245,0.590294829091166,0.561078799315785,1.22221961754783,0.694869685039207,1.16672958780688,0.719319589415081,1.52801202787729,0.177331273728283,1.16995859981559,0.498242839482111,0.933950969792303,0.756309146615534,0.962163178945622,0.741192832979686,1.52170699174497,1.17639502304168,0.93584904491092,1.27265349653933,0.899351540364408,0.790277294607438,0.692626281625074,1.22377410639885,0.909046022276202,1.09209793866628,1.12906700937687,1.02948195778692,1.14392185117482,1.07669687653157,0.918675793973941,0.912905647188026,0.877791561719162,0.767010358160331
"ENSG00000114391",1.74895764593541,0.663916343468147,1.661536161367,1.83956914984675,1.30514060109473,0.949059086782547,0.931280465151568,0.992570118343709,0.904194864769298,1.7460549589439,1.7748223230112,1.27652910194366,1.80721084362689,1.39960011187075,1.09079218234394,1.43606889178532,0.863258335283452,1.63588419270812,1.44594073543291,2.06127254449465,0.865934744667282,0.791869620413897,1.45041461984227,1.68974926082446,0.448704196402233,0.530265199215539,0.747567100781519,1.60819420280293,1.95278835256804,0.650008250872165,1.07352911535264,1.33149263689045,0.999899146320783,1.50637790950469,0.88188976475208,0.812827558407608,0.632872490660685,1.17197739103211,1.12138811602543,1.0630829064271,0.746115087751972,0.96162528990639,0.511585598697893,1.59372759355809,1.03123494588242,0.956611935533097,0.779147144997567,0.360338674730544,0.591314005990254,0.525194701519455,1.38567959613963,0.98766333308859,0.757690477793864,1.02884851647843,0.926160356638025,0.780566306491392,1.38007356185071,0.776304627095706,0.919734560688002,0.475238640098661,0.779147144997567
"ENSG00000123243",1.43843627601947,0.207426990785829,0.116819924374115,0.292678276606693,0.707140790323828,0,0.16585073971963,0.904221687165071,0.123040682032958,0.478812647970925,0.303673782290143,1.08397923106176,0.799365707745227,0.568152746012122,0.276026273357102,0.00674420462414522,0.207426990785829,0.31458611915755,0.531207882974841,0.292678276606693,0.189755105473723,0.059592052623957,0.399034926519802,0.0916651413462636,0.346836466461791,1.72888736201052,1.70627788296151,0.719509768576636,0.104297357582403,1.73296037771312,0.00674420462414522,0.123040682032958,1.48264772677571,0.16585073971963,0.135402299893145,0.219089122257223,0.967815358882497,0.434481689078612,0.0201387611081597,0.747964878568902,1.92320970886624,0.08530731319054,0.373171759638107,0.242134325501303,0.123040682032958,0.0979950753572599,0.99520370818126,1.18555079708614,0.419396735633143,2.02305231657326,1.23233710373216,0.341511225702946,0.116819924374115,2.3398430480091,1.58758899455913,1.38508329225251,0.889700834176615,2.20852432874422,0.478812647970925,0.373171759638107,0.483655265594539
"ENSG00000125844",1.78841340222067,0.575481090961865,1.78441511269057,1.93267847266157,1.42642512194285,1.61178549430828,1.18805338568516,1.14334299532646,1.65423133096695,1.07475791741344,2.03044802186545,0.978136578306021,0.918357117665948,0.857377963474165,0.547443799722328,1.58403342293373,0.547443799722328,1.34781632418351,0.969197962130643,1.67165342966542,0.857377963474165,1.52426139923374,1.38045003889987,1.38429772673011,1.14277525309329,0.53191791829663,1.20010965752026,1.51858340073019,1.50097114331966,0.445246788674152,0.434153426058423,1.49119196432374,0.720262715033238,1.26467624824541,0.579682029853816,1.43247687761372,0.830131595185506,1.00836951301078,0.578842820305397,0.804516038807121,0.605458325289976,0.792983706956784,0.97495056932153,2.19228150251355,0.920346026034939,1.14447780865789,0.894948293807902,0.546585620598224,0.855993161366558,0.616132164395028,0.847656314182592,0.987020152930251,1.03002168634201,0.985754414810456,0.907703048072992,0.75633927768391,0.747404360404443,0.905027191977585,0.906365740024903,1.13480331870198,1.14844264247356
"ENSG00000126838",0.0728190915408455,0,0.224351653995367,0.158960297072984,0,0,0,0,0,0,0,0.271520734253086,0.255968436164356,0,0.271520734253086,0.0549559886656178,0,0.0549559886656178,0,0,0.0728190915408455,0.0368689333260393,1.71844594041747,0.332254034346584,0.142138617997515,0.286907165730839,2.49155223778223,0.167131866822132,0.904230491154143,0.0728190915408455,0.0904637201134941,2.88879642772704,2.72900337851181,0.018552240121459,0,0.0368689333260393,0.224351653995367,0.142138617997515,0.317196318407519,0.513087981896549,0.142138617997515,0,0.0368689333260393,0.418464413394369,0.0728190915408455,0.175588096797075,0.551815177320482,0.375931139780991,0.302131230101544,2.72412292336348,0.969572717556546,0.192026434184766,0.224351653995367,2.38065372580285,0.302131230101544,1.57540819410377,1.07932860001344,0.125118482268957,0.192026434184766,0.500340456488459,0.404425524117712
"ENSG00000127554",1.25335276909197,0.776383126980191,1.28430876141164,1.72610433625296,0.74534473091459,2.22131584210524,1.09475142806068,1.4423681396871,0.99106949257213,1.35481467382947,1.41019070694392,0.856633937567147,1.97163934038764,2.25470893648089,0.695313364961058,1.50304191331583,0.676292858337532,1.27712749194355,0.698900640986852,1.80217697841284,1.17746077158771,0.823867811304413,1.12021710777615,1.40198510591013,1.02725051629826,0.33674960870258,0.756463919620964,1.28004594137981,1.29300320358473,0.4335407218933,0.587538009866838,1.0081423823434,0.445845363844465,1.50339871974089,0.296138611288349,0.871913310865665,0,0.39905574252636,0.528457920084175,1.07748116275435,0.607425080697201,0.682608416881452,0.773131620874021,1.75381086713314,1.19623207531122,1.46122545480966,0.93093180845024,0.819002739203136,0.46557346855352,0.676767485358487,1.10383917641745,1.54991181138048,1.66066855520018,1.27137757808562,1.38871966145255,0.984311180692128,1.35688936915509,1.2602308624773,1.03047264021006,0.544496907967139,1.35915823637643
